CustomerKey,FirstName,LastName,Gender,DateFirstPurchase,CustomerCity
11000,Jon,Yang,M,1/19/2018,Rockhampton
11001,Eugene,Huang,M,1/15/2018,Seaford
11002,Ruben,Torres,M,1/7/2018,Hobart
11003,Christy,Zhu,F,12/29/2017,North Ryde
11004,Elizabeth,Johnson,F,1/23/2018,Wollongong
11005,Julio,Ruiz,M,12/30/2017,East Brisbane
11006,Janet,Alvarez,F,1/24/2018,Matraville
11007,Marco,Mehta,M,1/9/2018,Warrnambool
11008,Rob,Verhoff,F,1/25/2018,Bendigo
11009,Shannon,Carlson,M,1/27/2018,Hervey Bay
11010,Jacquelyn,Suarez,F,1/14/2018,East Brisbane
11011,Curtis,Lu,M,12/30/2017,East Brisbane
11012,Lauren,Walker,F,3/16/2020,Bremerton
11013,Ian,Jenkins,M,4/13/2020,Lebanon
11014,Sydney,Bennett,F,3/23/2020,Redmond
11015,Chloe,Young,F,1/18/2020,Burbank
11016,Wyatt,Hill,M,2/9/2020,Imperial Beach
11017,Shannon,Wang,F,1/12/2018,Sunbury
11018,Clarence,Rai,M,1/17/2018,Bendigo
11019,Luke,Lal,M,2/12/2020,Langley
11020,Jordan,King,M,12/29/2019,Metchosin
11021,Destiny,Wilson,F,1/23/2020,Beaverton
11022,Ethan,Zhang,M,1/20/2020,Bellingham
11023,Seth,Edwards,M,2/17/2020,Bellflower
11024,Russell,Xie,M,6/27/2020,Concord
11025,Alejandro,Beck,M,1/6/2018,Hawthorne
11026,Harold,Sai,M,1/23/2018,Goulburn
11027,Jessie,Zhao,M,1/16/2018,Warrnambool
11028,Jill,Jimenez,F,1/26/2018,St. Leonards
11029,Jimmy,Moreno,M,1/19/2018,Bendigo
11030,Bethany,Yuan,F,2/5/2018,Cloverdale
11031,Theresa,Ramos,F,2/1/2018,Matraville
11032,Denise,Stone,F,2/18/2018,Melbourne
11033,Jaime,Nath,M,2/15/2018,Milsons Point
11034,Ebony,Gonzalez,F,2/1/2018,North Sydney
11035,Wendy,Dominguez,F,2/6/2018,Cranbourne
11036,Jennifer,Russell,F,1/22/2020,National City
11037,Chloe,Garcia,F,1/20/2020,Cliffside
11038,Diana,Hernandez,F,2/7/2018,Lavender Bay
11039,Marc,Martin,M,2/7/2018,Wollongong
11040,Jesse,Murphy,M,4/3/2020,Tacoma
11041,Amanda,Carter,F,1/14/2020,Glendale
11042,Megan,Sanchez,F,1/21/2020,Los Angeles
11043,Nathan,Simmons,M,5/8/2020,Glendale
11044,Adam,Flores,M,2/28/2018,Hervey Bay
11045,Leonard,Nara,M,4/10/2020,Matraville
11046,Christine,Yuan,F,2/6/2018,Lavender Bay
11047,Jaclyn,Lu,F,2/3/2018,Geelong
11048,Jeremy,Powell,M,2/10/2018,Sunbury
